1. (8.31)
A.
	00 	+1009
01 	+2009 
02 	+4106 
03 	+3008
04 	+2108 
05 	+4000
06 	+1108
07 	+4300
08 	+0000 
09 	+0000 

B.
	00 	+2018 
01 	+3121 
02 	+4211 
03 	+2018 
04 	+3019 
05 	+2118 
06 	+1017 
07 	+2016
08 	+3017
09 	+2116 
10 	+4000
11 	+2016 
12 	+3218 
13 	+2120 
14 	+1120 
15 	+4300 
16 	+0000 
17 	+0000
18 	+0000
19 	+0001
20 	+0000 
21 	+0007 

C. 
	00 	+1017 
01 	+2018 
02 	+3117 
03 	+4215
04 	+2018
05 	+3021 
06 	+2118
07 	+1019
08 	+2020 
09 	+3119 
10 	+4112 
11 	+4001 
12 	+2019 
13 	+2120
14 	+4001 
15 	+1120
16 	+4300 
17 	+0000
18 	+0000
19 	+0000 
20 	+0000 
21 	+0001
